Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Gold, tennis bracelet, Maven, Average Height, Fit, Diamond-Shaped Face, Tan Skin, Silver Hair, amber Eyes, Wide Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Sleek Waves, asymmetrical breasts, Stud earrings, silver, metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Radium, ankle bracelet, Duchess, Tall, Slim, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Curly Afro, full breasts, Threader earrings, mauve, velvet lipstick, Red Satin Kimono with Lace Sleeve Detail
Palladium, vintage brooch, Belle, Tall, Wide Hips, Square Face, Fair Skin, Blonde Hair, turquoise Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Updo, large breasts, Cuff earrings, hot pink, velvet lipstick, Pink Lace Garter Slip with Matching Thong
Gold, pendant, Duchess, Tall, Skinny, Oval Face, Dark Skin, Brunette Hair, hazel Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Bouncy Curls, small breasts, Cuff earrings, green, cream lipstick, Green Sequin Slip Dress with Thigh-High Slits
Tantalum, tennis necklace, Babe, Average Height, Thin, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, gold Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curly Hair, asymmetrical breasts, Dangle earrings, black, velvet lipstick, Olive Green Mesh Garter Belt with Stockings
Platinum, locket necklace, Madame, Average Height, Firm, Round Face, Olive Skin, Brunette Hair, Brown Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Thick Hair, Fringed Bangs, asymmetrical breasts, Clip-on earrings, plum, velvet lipstick, Red Satin Babydoll
Iridium, slave bracelet, Femme fatale, Average Height, Slim, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, peach Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Stacked Bob, augmented breasts, Hoop earrings, nude, velvet lipstick, Teal Velvet Chemise with Ruffles 
Radium, brooch pin, Diva, Short, Athletic, Triangular Face, Tan Skin, Light Brown Hair, silver Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Low Updo, asymmetrical breasts, Stud earrings, rose, cream lipstick, Teal Velvet Chemise with Ruffles 
Cadmium, toe ring, Madame, Average Height, Athletic, Oval Face, Tan Skin, Chestnut Hair, purple Eyes, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Waterfall Braid, augmented breasts, Stud earrings, orange, sheer lipstick, Green Silk Bralette and Panty Set
Germanium, pendant, Phenom, Average Height, Toned, Round Face, Fair Skin, Brunette Hair, aquamarine Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Boho Braid, large breasts, Dangle earrings, cherry, sheer lipstick, Red Satin Babydoll
Gold, ankle bracelet, Superwoman, Average Height, Slim, Square Face, Dark Skin, Auburn Hair, light blue Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Fine Hair, Long Straight Hair, large breasts, Clip-on earrings, burgundy, velvet lipstick, Maroon Satin and Lace Corset 
Gallium, tassel necklace, Starlet, Average Height, Thin, Heart-Shaped Face, Fair Skin, Auburn Hair, silver Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, round breasts, Drop earrings, peach, stain lipstick, Plum Satin and Lace Bustier 
Silver, friendship bracelet, Songstress, Short, Slim, Triangular Face, Tan Skin, Auburn Hair, jade Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, High Messy Bun, augmented breasts, Huggie earrings, rust, gloss lipstick, White Satin and Lace Bra and Panty Set
Silver, anklet, Miss, Average Height, Athletic, Round Face, Olive Skin, Platinum Blonde Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Straight Hair, natural breasts, Huggie earrings, plum, metallic lipstick, Cream Sequin Bra and Pant Set
Osmium, pearl necklace, Maven, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Rope Braid, perky breasts, Stud earrings, violet, stain lipstick, Black Lace Bustier
Indium, bracelet, Enchantress, Average Height, Narrow Hips, Triangular Face, Tan Skin, Honey Blonde Hair, Gray Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Side Bangs, saggy breasts, Clip-on earrings, nude, sheer lipstick, Green Sequin Slip Dress with Thigh-High Slits
Gallium, choker, Vixen, Tall, Skinny, Heart-Shaped Face, Tan Skin, Honey Blonde Hair, silver Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Wavy Hair, High Bun, round breasts, Dangle earrings, terracotta, cream lipstick, Purple Mesh Babydoll with Matching G-String
Germanium, pearl necklace, Miss, Tall, Narrow Hips, Round Face, Fair Skin, Strawberry Blonde Hair, silver Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Braided Updo, round breasts, Clip-on earrings, magenta, satin lipstick, Blue Sheer Babydoll with Satin Trim
Osmium, brooch, Enigma, Tall, Narrow Hips, Heart-Shaped Face, Dark Skin, Red Hair, Hazel Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Wavy Bob, round breasts, Clip-on earrings, rust, metallic lipstick, Olive Green Mesh Garter Belt with Stockings
Germanium, watch bracelet, Miss, Tall, Athletic, Triangular Face, Tan Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Long Hair, Fine Hair, Blunt Cut Bangs, firm breasts, Cuff earrings, berry, gloss lipstick, Red Satin Babydoll
Rhodium, anklet, Dame, Short, Skinny, Oval Face, Tan Skin, Light Brown Hair, black Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Four-Strand Braid, perky breasts, Stud earrings, black, satin lipstick, Purple Velvet Slip with Lace Trim
Tantalum, bib necklace, Femme fatale, Average Height, Athletic, Round Face, Dark Skin, Platinum Blonde Hair, light blue Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Middle Part Bangs, asymmetrical breasts, Cuff earrings, nude, gloss lipstick, Tan Faux Leather Slip Dress
Gold, statement necklace, Songstress, Tall, Firm, Diamond-Shaped Face, Fair Skin, Red Hair, blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Twisted Bun, perky breasts, Stud earrings, rose, cream lipstick, Blue Satin and Lace Cami and Short Set
Rhenium, cuff bracelet, Gal, Tall, Toned, Triangular Face, Fair Skin, Black Hair, hazel Eyes, Short Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Beach Waves, perky breasts, Threader earrings, golden, gloss lipstick, Tan Faux Leather Slip Dress
Germanium, toggle bracelet, Trailblazer, Tall, Athletic, Oval Face, Fair Skin, Platinum Blonde Hair, Green Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Chignon, perky breasts, Hoop earrings, grape, cream lipstick, Black Lace Bustier
Rhodium, necklace, Siren, Tall, Toned, Triangular Face, Olive Skin, Golden Blonde Hair, amber Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Fishtail Crown Braid, saggy breasts, Threader earrings, coral, matte lipstick, Green Sequin Slip Dress with Thigh-High Slits
Tantalum, beaded necklace, Baroness, Short, Toned, Round Face, Dark Skin, Silver Hair, ruby Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Voluminous Waves, soft breasts, Faux gauge earrings, black, satin lipstick, Black Cutout Bodysuit with Zipper
Indium, vintage brooch, Countess, Average Height, Wide Hips, Triangular Face, Tan Skin, Black Hair, turquoise Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, augmented breasts, Huggie earrings, terracotta, cream lipstick, Turquoise Sheer Chemise with Cutouts
Germanium, locket necklace, Queen, Short, Slim, Square Face, Tan Skin, Auburn Hair, Blue Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, High Bun, natural breasts, Faux gauge earrings, orange, sheer lipstick, White Sheer Teddy with Lace Trim
Iridium, bangle bracelet, Female Viking, Tall, Thin, Diamond-Shaped Face, Tan Skin, Brunette Hair, Green Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, High Messy Bun, soft breasts, Huggie earrings, shimmer, cream lipstick, Yellow Lace Halter Bralette and Thong Set
Radium, multi-strand necklace, Woman, Tall, Lean, Heart-Shaped Face, Tan Skin, Dark Brown Hair, amethyst Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, French Roll, natural breasts, Hoop earrings, lavender, cream lipstick, Yellow Lace Halter Bralette and Thong Set
Rhenium, brooch pin, Femme fatale, Tall, Skinny, Oval Face, Olive Skin, Light Brown Hair, aquamarine Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Triple Braided Crown, natural breasts, Clip-on earrings, coral, gloss lipstick, Grey Faux Leather Corset 
Radium, chain necklace, Empress, Short, Narrow Hips, Heart-Shaped Face, Olive Skin, Red Hair, yellow Eyes, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Side-Swept Bangs, full breasts, Dangle earrings, brown, cream lipstick, Black Lace Bustier
Platinum, brooch pin, Songstress, Average Height, Narrow Hips, Triangular Face, Olive Skin, Strawberry Blonde Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Thick Hair, Tousled Waves, small breasts, Stud earrings, peach, metallic lipstick, Navy Blue Satin Garter Belt with Suspenders 
Osmium, flower brooch, Starlet, Short, Slim, Oval Face, Fair Skin, Chestnut Hair, yellow Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Angled Bob, perky breasts, Drop earrings, cream, cream lipstick, Crimson Velvet Cami and Short Set 
Palladium, tennis necklace, Sensation, Tall, Wide Hips, Square Face, Fair Skin, Light Brown Hair, ruby Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Layered Bob, round breasts, Cuff earrings, magenta, velvet lipstick, Black Leather Bralette and Panty Set
Beryllium, cocktail brooch, Baroness, Average Height, Toned, Square Face, Tan Skin, Dark Brown Hair, dark brown Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, High Chignon, small breasts, Hoop earrings, red, satin lipstick, White Sheer Teddy with Lace Trim
Cadmium, bracelet, Heiress, Average Height, Lean, Round Face, Tan Skin, Brunette Hair, black Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Wavy Updo, firm breasts, Threader earrings, shimmer, matte lipstick, Lavender Lace Bra and Panty Set 
Germanium, bib necklace, Maven, Tall, Thin, Oval Face, Fair Skin, Silver Hair, purple Eyes, Wide Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Middle Part Bangs, full breasts, Clip-on earrings, coral, gloss lipstick, Brown Strappy Bodysuit
Cadmium, pearl necklace, Baroness, Short, Toned, Round Face, Fair Skin, Honey Blonde Hair, brown Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Rope Braid, asymmetrical breasts, Cuff earrings, shimmer, velvet lipstick, Cream Sequin Bra and Pant Set
Palladium, ankle bracelet, Empress, Average Height, Athletic, Oval Face, Dark Skin, Strawberry Blonde Hair, jade Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Lace Braid, small breasts, Stud earrings, silver, matte lipstick, Black Mesh Bodysuit with Embroidered Flowers
Rhodium, flower brooch, Lady, Average Height, Skinny, Triangular Face, Olive Skin, Golden Blonde Hair, dark brown Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Long Wavy Hair, small breasts, Cuff earrings, red, velvet lipstick, Green Silk Bralette and Panty Set
Iridium, charm bracelet, Escort, Tall, Skinny, Heart-Shaped Face, Dark Skin, Dark Brown Hair, amethyst Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Long Curled Updo, soft breasts, Huggie earrings, golden, sheer lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Platinum, toggle bracelet, Woman, Tall, Wide Hips, Heart-Shaped Face, Tan Skin, Gray Hair, teal Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Half Up Half Down, saggy breasts, Stud earrings, berry, metallic lipstick, Turquoise Sheer Chemise with Cutouts
Gallium, vintage brooch, Lady, Tall, Narrow Hips, Diamond-Shaped Face, Olive Skin, Silver Hair, jade Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Half Up Half Down, firm breasts, Huggie earrings, orange, sheer lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Iridium, beaded necklace, Enigma, Tall, Wide Hips, Round Face, Fair Skin, Golden Blonde Hair, blue Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Boho Braid, small breasts, Cuff earrings, fuchsia, sheer lipstick, Cream Sequin Bra and Pant Set
Platinum, watch bracelet, Female Warrior, Short, Firm, Oval Face, Olive Skin, Blonde Hair, black Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Wavy Bob, perky breasts, Faux gauge earrings, plum, velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Osmium, collar necklace, Babe, Short, Narrow Hips, Heart-Shaped Face, Dark Skin, Brunette Hair, silver Eyes, Straight Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Bouncy Curls, soft breasts, Dangle earrings, violet, satin lipstick, Black Sheer Teddy with Floral Applique
Gallium, toe ring, Artist, Average Height, Slim, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, grey-blue Eyes, [[Curved Nose]], Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, High Bun, natural breasts, Clip-on earrings, orange, matte lipstick, Red Mesh Chemise with Strappy Back Detail
Platinum, bangle bracelet, Dame, Tall, Lean, Square Face, Olive Skin, Platinum Blonde Hair, gold Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Lace Braid, round breasts, Faux gauge earrings, berry, cream lipstick, Blue Satin and Lace Cami and Short Set
Germanium, watch bracelet, Heiress, Tall, Lean, Square Face, Olive Skin, Golden Blonde Hair, Blue Eyes with Green Flecks, Straight Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Blunt Cut Bangs, large breasts, Dangle earrings, cream, stain lipstick, White Sheer Teddy with Lace Trim
Radium, watch bracelet, Starlet, Average Height, Wide Hips, Round Face, Olive Skin, Silver Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Curly Hair, Long Curly Hair, firm breasts, Hoop earrings, burgundy, metallic lipstick, Red Lace Bra and Panty Set with Garter Belt
Beryllium, statement necklace, Diva, Tall, Slim, Square Face, Tan Skin, Honey Blonde Hair, ice blue Eyes, Narrow Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, High Chignon, augmented breasts, Drop earrings, rose, matte lipstick, Blue Strappy Bodysuit with Cutouts
Silver, bracelet, Enchantress, Average Height, Wide Hips, Triangular Face, Tan Skin, Chestnut Hair, dark brown Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Chignon, soft breasts, Faux gauge earrings, lavender, sheer lipstick, Grey Faux Leather Corset 
Gold, necklace, Phenom, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Tapered Afro, augmented breasts, Dangle earrings, cream, velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Gallium, toe ring, Heiress, Short, Athletic, Triangular Face, Dark Skin, Honey Blonde Hair, green Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Side-Swept Bangs, small breasts, Cuff earrings, peach, metallic lipstick, Black Cutout Bodysuit with Zipper
Ruthenium, tennis necklace, Seductress, Tall, Wide Hips, Oval Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Straight Hair, Fishtail Crown Braid, perky breasts, Dangle earrings, green, gloss lipstick, Turquoise Sheer Chemise with Cutouts
Tantalum, cocktail ring, Luminary, Short, Slim, Oval Face, Tan Skin, Red Hair, Hazel Eyes with Green Flecks, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Crown, round breasts, Cuff earrings, cream, satin lipstick, Yellow Lace Halter Bralette and Thong Set
Rhodium, cuff bracelet, Baroness, Average Height, Slim, Oval Face, Olive Skin, Platinum Blonde Hair, amber Eyes, Wide Nose, Full Lips, Sharp Chin, Long Hair, Wavy Hair, Low Updo, perky breasts, Hoop earrings, magenta, gloss lipstick, Blue Strappy Bodysuit with Cutouts
Gallium, pendant, Duchess, Short, Wide Hips, Square Face, Tan Skin, Red Hair, red Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Half Up, natural breasts, Threader earrings, grape, stain lipstick, Green Satin and Lace Garter Belt with Matching Thong
Palladium, collar necklace, Countess, Average Height, Lean, Round Face, Fair Skin, Strawberry Blonde Hair, ruby Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, firm breasts, Clip-on earrings, black, metallic lipstick, Plum Satin and Lace Bustier 
Osmium, tassel necklace, Lady, Average Height, Thin, Square Face, Fair Skin, White Hair, Amber Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, large breasts, Clip-on earrings, silver, matte lipstick, Plum Satin and Lace Bustier 
Gallium, ankle cuff, Female Viking, Short, Narrow Hips, Triangular Face, Tan Skin, Silver Hair, Brown Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, High Messy Bun, asymmetrical breasts, Dangle earrings, green, stain lipstick, Purple Velvet Slip with Lace Trim
Silver, beaded necklace, Dame, Short, Thin, Square Face, Olive Skin, Auburn Hair, aquamarine Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, High Ponytail, augmented breasts, Huggie earrings, red, satin lipstick, Cream Sequin Bra and Pant Set
Tantalum, tassel necklace, Babe, Tall, Narrow Hips, Square Face, Dark Skin, Auburn Hair, purple Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Sock Bun, full breasts, Faux gauge earrings, brown, gloss lipstick, White Sheer Teddy with Lace Trim
Iridium, beaded necklace, Babe, Average Height, Thin, Square Face, Dark Skin, Dark Brown Hair, Blue Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Tapered Afro, asymmetrical breasts, Cuff earrings, violet, gloss lipstick, Red Satin Babydoll
Tantalum, ankle strap, Babe, Tall, Thin, Diamond-Shaped Face, Dark Skin, Chestnut Hair, Amber Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, High Chignon, round breasts, Stud earrings, plum, sheer lipstick, Blue Satin and Lace Cami and Short Set
Germanium, brooch, Madam, Tall, Fit, Round Face, Olive Skin, Strawberry Blonde Hair, black Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Short Afro, augmented breasts, Dangle earrings, fuchsia, cream lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Platinum, ankle bracelet, Trailblazer, Short, Athletic, Square Face, Fair Skin, Golden Blonde Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Formal Updo, round breasts, Drop earrings, terracotta, matte lipstick, Cream Sequin Bra and Pant Set
Rhenium, bib necklace, Goddess, Tall, Lean, Square Face, Tan Skin, Platinum Blonde Hair, amber Eyes, Short Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Rope Braid, natural breasts, Huggie earrings, violet, satin lipstick, Red Lace Bra and Panty Set with Garter Belt
Indium, ankle cuff, Mistress, Short, Toned, Round Face, Tan Skin, Dark Brown Hair, aquamarine Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wavy Layered Bob, saggy breasts, Drop earrings, lavender, metallic lipstick, Blue Strappy Bodysuit with Cutouts
Osmium, bangle bracelet, Heiress, Average Height, in shape, Diamond-Shaped Face, Tan Skin, Auburn Hair, purple Eyes, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Wavy Bob, asymmetrical breasts, Faux gauge earrings, black, cream lipstick, Red Lace Bra and Panty Set with Garter Belt
Gallium, anklet, Sensation, Average Height, Firm, Square Face, Tan Skin, Silver Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, natural breasts, Drop earrings, silver, matte lipstick, Black Lace Bustier
Germanium, friendship bracelet, Goddess, Short, in shape, Diamond-Shaped Face, Olive Skin, White Hair, Brown Eyes with Green Flecks, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Long Wavy Hair, round breasts, Clip-on earrings, mauve, velvet lipstick, Gold Strappy Bodysuit
Gallium, ankle cuff, Starlet, Tall, Lean, Oval Face, Fair Skin, Silver Hair, Brown Eyes with Green Flecks, Short Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Bun, small breasts, Stud earrings, silver, matte lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Cadmium, friendship bracelet, Seductress, Tall, Narrow Hips, Heart-Shaped Face, Tan Skin, Golden Blonde Hair, aquamarine Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Fluffy Afro, firm breasts, Threader earrings, light pink, velvet lipstick, Blue Satin and Lace Cami and Short Set
Gallium, watch bracelet, Goddess, Average Height, Fit, Square Face, Tan Skin, Brunette Hair, blue Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Waterfall Braid, asymmetrical breasts, Threader earrings, grape, metallic lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Silver, multi-strand necklace, Charmer, Short, Narrow Hips, Diamond-Shaped Face, Dark Skin, Red Hair, brown Eyes, Long Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Tousled Waves, round breasts, Dangle earrings, silver, cream lipstick, Green Sequin Slip Dress with Thigh-High Slits
Rhenium, bib necklace, Gal, Short, Skinny, Square Face, Fair Skin, Gray Hair, Blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, asymmetrical breasts, Faux gauge earrings, berry, stain lipstick, Gold Strappy Bodysuit
Rhodium, collar necklace, Maven, Short, Firm, Round Face, Dark Skin, White Hair, Green Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Updo, perky breasts, Clip-on earrings, soft pink, cream lipstick, Black Leather Bralette and Panty Set
Silver, necklace, Babe, Tall, Slim, Triangular Face, Fair Skin, Strawberry Blonde Hair, black Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, French Braid, full breasts, Threader earrings, brown, velvet lipstick, Gold Strappy Bodysuit
Cadmium, beaded necklace, Enigma, Tall, Skinny, Diamond-Shaped Face, Dark Skin, Red Hair, purple Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Low Messy Bun, firm breasts, Cuff earrings, gloss, metallic lipstick, Yellow Lace Halter Bralette and Thong Set
Cadmium, multi-strand necklace, Goddess, Tall, in shape, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, aquamarine Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Side French Braid, soft breasts, Stud earrings, shimmer, matte lipstick, Green Silk Bralette and Panty Set
Rhenium, statement necklace, Goddess, Short, in shape, Oval Face, Tan Skin, Platinum Blonde Hair, pink Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Boho Braid, full breasts, Hoop earrings, nude, metallic lipstick, Lavender Lace Bra and Panty Set 
Cadmium, tennis necklace, Vixen, Average Height, Toned, Square Face, Dark Skin, Light Brown Hair, amethyst Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Short Afro, saggy breasts, Cuff earrings, terracotta, stain lipstick, Purple Velvet Robe with Fur Trim 
Rhenium, cuff bracelet, Maven, Average Height, Thin, Diamond-Shaped Face, Fair Skin, White Hair, red Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Fauxhawk, full breasts, Dangle earrings, nude, sheer lipstick, Brown Strappy Bodysuit
Beryllium, brooch, Gal, Tall, in shape, Oval Face, Fair Skin, Golden Blonde Hair, black Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Low Updo, large breasts, Dangle earrings, nude, gloss lipstick, White Satin and Lace Bra and Panty Set
Ruthenium, multi-strand necklace, Countess, Tall, Toned, Heart-Shaped Face, Dark Skin, Platinum Blonde Hair, ice blue Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Messy Bun, augmented breasts, Drop earrings, gloss, stain lipstick, Grey Faux Leather Corset 
Gallium, ankle bracelet, Female Viking, Tall, Skinny, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, aquamarine Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Afro, soft breasts, Drop earrings, cream, stain lipstick, Navy Blue Satin Garter Belt with Suspenders 
Tantalum, brooch pin, Siren, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, Green Eyes, Straight Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Braided Half Up, large breasts, Faux gauge earrings, berry, matte lipstick, Mint Green Mesh Teddy 
Rhodium, flower brooch, Empress, Tall, Thin, Round Face, Tan Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Formal Braided Updo, full breasts, Hoop earrings, beige, velvet lipstick, Ivory Lace Teddy
Rhenium, bangle bracelet, Lady, Short, Skinny, Round Face, Tan Skin, Platinum Blonde Hair, Hazel Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, saggy breasts, Clip-on earrings, magenta, stain lipstick, Black Cutout Bodysuit with Zipper
Beryllium, brooch, Sensation, Average Height, Wide Hips, Oval Face, Fair Skin, Black Hair, green Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Formal Updo, full breasts, Cuff earrings, mauve, satin lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Platinum, toe ring, Visionary, Short, Lean, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, aquamarine Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Braided Crown, asymmetrical breasts, Threader earrings, violet, satin lipstick, Silver Sequin Bralette
